fire_year,stat_cause_descr,fire_size,fire_size_class,latitude,longitude,state,county,discovery_date,cont_date
2005,Miscellaneous,0.1,A,40.03694444,-121.00583333,CA,63,2453403.5,2453403.5
2004,Lightning,0.25,A,38.93305556,-120.40444444,CA,61,2453137.5,2453137.5
2004,"Debris Burning",0.1,A,38.98416667,-120.73555556,CA,17,2453156.5,2453156.5
2004,Lightning,0.1,A,38.55916667,-119.91333333,CA,3,2453184.5,2453189.5
2004,Lightning,0.1,A,38.55916667,-119.93305556,CA,3,2453184.5,2453189.5
2004,Lightning,0.1,A,38.63527778,-120.10361111,CA,5,2453186.5,2453187.5
2004,Lightning,0.1,A,38.68833333,-120.15333333,CA,17,2453187.5,2453188.5
2005,"Debris Burning",0.8,B,40.96805556,-122.43388889,CA,,2453437.5,2453437.5
2005,"Debris Burning",1.0,B,41.23361111,-122.28333333,CA,,2453444.5,2453444.5
2004,Lightning,0.1,A,38.54833333,-120.14916667,CA,5,2453187.5,2453188.5
2004,Lightning,0.1,A,38.69166667,-120.15972222,CA,17,2453188.5,2453189.5
2004,Lightning,0.1,A,38.5275,-120.10611111,CA,5,2453188.5,2453189.5
2004,Miscellaneous,0.1,A,38.78666667,-120.19333333,CA,17,2453251.5,2453251.5
2004,Campfire,6.0,B,38.43333333,-120.51,CA,5,2453276.5,2453276.5
2004,Lightning,0.2,A,38.67583333,-120.27972222,CA,17,2453281.5,2453281.5
2004,Lightning,0.1,A,38.56416667,-120.54222222,CA,17,2453281.5,2453281.5
2004,"Equipment Use",16823.0,G,38.52333333,-120.21166667,CA,5,2453284.5,2453299.5
2004,"Equipment Use",7700.0,G,38.78,-120.26,CA,17,2453291.5,2453295.5
2004,"Debris Burning",0.1,A,38.945,-120.41166667,CA,17,2453329.5,2453330.5
2004,Lightning,0.1,A,33.44083333,-105.72055556,NM,27,2453160.5,2453160.5
2004,Lightning,0.1,A,33.30722222,-105.62861111,NM,27,2453175.5,2453175.5
2004,Lightning,0.1,A,33.44444444,-105.76805556,NM,27,2453177.5,2453178.5
2004,Lightning,0.1,A,33.55944444,-105.76611111,NM,27,2453181.5,2453182.5
2004,Lightning,0.25,A,33.30805556,-105.52611111,NM,27,2453187.5,2453188.5
2004,Lightning,2.5,B,33.54527778,-105.22944444,NM,27,2453187.5,2453192.5
2004,Lightning,10.0,C,33.31583333,-105.51222222,NM,27,2453206.5,2453206.5
2004,Miscellaneous,8.2,B,33.44444444,-105.63111111,NM,27,2453082.5,2453082.5
2004,Lightning,0.1,A,33.36805556,-105.50722222,NM,27,2453222.5,2453222.5
2004,"Debris Burning",0.25,A,33.38527778,-105.63861111,NM,27,2453082.5,2453082.5
2004,"Debris Burning",0.25,A,33.38277778,-105.70027778,NM,27,2453136.5,2453136.5
2004,Lightning,0.1,A,33.37972222,-105.68027778,NM,27,2453175.5,2453175.5
2005,Campfire,0.1,A,43.99555556,-121.41416667,OR,17,2453406.5,2453407.5
2004,Lightning,0.1,A,33.49666667,-105.73972222,NM,27,2453181.5,2453182.5
2004,Lightning,0.1,A,33.41777778,-105.7075,NM,27,2453247.5,2453247.5
2004,Lightning,0.1,A,33.25527778,-105.62611111,NM,27,2453289.5,2453289.5
2005,Campfire,0.1,A,44.04333333,-121.38611111,OR,17,2453434.5,2453434.5
2005,"Equipment Use",0.6,B,35.22833333,-82.88444444,NC,21,2453440.5,2453440.5
2005,Arson,50.3,C,35.00027778,-83.35111111,NC,113,2453397.5,2453398.5
2005,Arson,0.1,A,35.93166667,-81.71666667,NC,27,2453407.5,2453407.5
2005,"Debris Burning",125.0,D,36.00166667,-81.59,NC,27,2453413.5,2453414.5
2005,"Debris Burning",25.0,C,35.985,-81.85166667,NC,11,2453476.5,2453476.5
2005,"Debris Burning",3.0,B,35.9,-81.68333333,NC,27,2453499.5,2453499.5
2005,"Debris Burning",10.0,C,36.035,-81.585,NC,27,2453499.5,2453499.5
2005,Campfire,0.1,A,43.95555556,-121.35222222,OR,17,2453465.5,2453465.5
2005,Lightning,0.25,A,42.35472222,-105.50555556,WY,9,2453527.5,2453527.5
2005,Miscellaneous,10.0,C,35.00138889,-83.38416667,NC,113,2453440.5,2453440.5
2005,Miscellaneous,5.0,B,44.91111111,-119.69611111,OR,69,2453440.5,2453440.5
2005,Lightning,0.5,B,39.29222222,-105.18305556,CO,,2453535.5,2453535.5
2005,Campfire,0.1,A,43.72527778,-121.57416667,OR,17,2453417.5,2453417.5
2005,"Debris Burning",0.1,A,44.41,-121.31555556,OR,17,2453431.5,2453431.5
2005,Lightning,0.1,A,42.13388889,-121.23416667,OR,37,2453518.5,2453518.5
2005,Miscellaneous,0.1,A,42.31138889,-120.90277778,OR,37,2453507.5,2453507.5
2005,Arson,0.1,A,42.95083333,-120.83611111,OR,37,2453517.5,2453517.5
2005,Miscellaneous,0.1,A,44.81611111,-107.33111111,WY,33,2453467.5,2453467.5
2005,Lightning,0.3,B,46.22083333,-117.785,WA,27,2453540.5,2453541.5
2005,Lightning,0.1,A,42.38694444,-120.80861111,OR,37,2453546.5,2453547.5
2005,Lightning,2.0,B,42.51472222,-121.12,OR,37,2453546.5,2453546.5
2005,"Debris Burning",0.5,B,48.92194444,-115.0925,MT,53,2453437.5,2453437.5
2005,Campfire,9.0,B,48.99833333,-115.16555556,MT,53,2453435.5,2453435.5
2005,Lightning,0.1,A,42.92138889,-121.03083333,OR,37,2453545.5,2453545.5
2005,Campfire,5.0,B,47.66555556,-115.56916667,MT,89,2453537.5,2453538.5
2005,Lightning,0.2,A,38.91333333,-105.98361111,CO,,2453520.5,2453521.5
2005,Campfire,0.1,A,39.10027778,-106.3675,CO,,2453542.5,2453542.5
2005,Lightning,0.1,A,40.08888889,-111.37833333,UT,49,2453549.5,2453549.5
2005,"Debris Burning",2.0,B,48.89944444,-115.10694444,MT,53,2453487.5,2453487.5
2005,Miscellaneous,0.1,A,48.90694444,-115.07666667,MT,53,2453484.5,2453484.5
2005,Campfire,0.1,A,48.40777778,-115.55833333,MT,53,2453555.5,2453555.5
2005,Campfire,0.1,A,48.40777778,-115.55777778,MT,53,2453556.5,2453556.5
2005,Lightning,0.1,A,42.30277778,-120.54361111,OR,37,2453546.5,2453546.5
2005,Lightning,0.5,B,42.13694444,-120.70166667,OR,37,2453547.5,2453547.5
2005,"Debris Burning",17.0,C,48.96666667,-115.20666667,MT,53,2453492.5,2453492.5
2005,Campfire,0.1,A,48.96444444,-115.18583333,MT,53,2453519.5,2453519.5
2005,Miscellaneous,3.0,B,48.89444444,-115.16527778,MT,53,2453552.5,2453552.5
2005,"Debris Burning",0.25,A,48.81694444,-115.11138889,MT,53,2453556.5,2453556.5
2005,Miscellaneous,0.1,A,48.9625,-115.08555556,MT,53,2453554.5,2453554.5
2005,Campfire,0.5,B,35.23638889,-112.21638889,AZ,5,2453506.5,2453506.5
2005,"Debris Burning",0.1,A,41.03722222,-123.53305556,CA,,2453548.5,2453548.5
2005,Miscellaneous,0.25,A,44.33555556,-106.95194444,WY,19,2453474.5,2453474.5
2005,Lightning,0.1,A,45.55444444,-118.10194444,OR,61,2453539.5,2453540.5
2005,"Equipment Use",0.1,A,48.28222222,-115.51055556,MT,53,2453503.5,2453503.5
2005,Campfire,0.1,A,48.41666667,-115.54611111,MT,53,2453561.5,2453561.5
2005,Campfire,0.1,A,48.34888889,-115.49083333,MT,53,2453554.5,2453555.5
2005,Campfire,0.1,A,48.40833333,-115.55833333,MT,53,2453560.5,2453560.5
2005,"Equipment Use",0.1,A,32.56055556,-109.7725,AZ,9,2453508.5,2453508.5
